client_id,Variation,gendr,generation
9268841,Test,F,generation x
4213800,Control,F,millenial
1763518,Control,F,millenial
7485024,Test,U,millenial
2437471,Control,U,millenial
1628554,Test,U,generation z
9744906,Test,F,silent generation
7289266,Control,F,generation x
3883711,Test,M,baby boomers
8123801,Test,M,generation x
598943,Control,F,generation x
8491121,Test,U,millenial
8861901,Control,F,baby boomers
6853744,Control,U,millenial
1404893,Control,F,millenial
768936,Test,U,millenial
5408845,Test,M,baby boomers
9336495,Control,U,millenial
4744361,Control,M,baby boomers
2397739,Test,U,baby boomers
2136502,Test,M,millenial
7501437,Test,U,baby boomers
9628154,Control,U,millenial
9293919,Control,M,silent generation
5318449,Test,F,generation x
5022038,Test,F,generation x
2565373,Control,U,baby boomers
5745157,Test,U,baby boomers
6653427,Test,F,baby boomers
6071019,Control,F,millenial
632316,Test,U,baby boomers
1152171,Test,M,baby boomers
8188670,Control,M,baby boomers
1021747,Test,M,silent generation
226198,Test,M,millenial
6216233,Control,F,millenial
1846219,Test,M,baby boomers
2093449,Test,M,millenial
7902892,Test,U,generation x
722917,Test,M,baby boomers
4747144,Control,F,generation x
2199722,Test,U,millenial
2235331,Test,M,millenial
8313694,Control,F,generation x
2382696,Test,F,generation x
2679453,Control,M,millenial
7276973,Control,F,baby boomers
4532572,Test,U,millenial
8771952,Test,U,millenial
5256566,Control,U,generation z
1342790,Control,U,baby boomers
9775174,Test,M,generation x
3703187,Test,F,baby boomers
2769120,Control,F,baby boomers
6031726,Test,U,millenial
8870709,Control,M,baby boomers
2145511,Control,U,millenial
461846,Control,F,silent generation
4878112,Control,U,generation x
843249,Test,U,baby boomers
5018154,Test,U,millenial
9414396,Control,U,baby boomers
6650565,Control,F,silent generation
2062199,Control,U,generation x
6682559,Test,F,baby boomers
9516496,Test,F,generation x
3382939,Test,F,millenial
7833565,Test,U,millenial
9448266,Test,F,generation x
2406356,Test,U,millenial
7112284,Control,M,millenial
6141432,Control,U,millenial
2015197,Control,U,baby boomers
5429577,Control,M,millenial
1636347,Control,M,baby boomers
4577314,Control,M,millenial
3068817,Test,F,baby boomers
2358419,Test,F,millenial
6283739,Control,F,baby boomers
8289357,Test,U,millenial
1423857,Control,U,generation x
117916,Test,U,millenial
2810561,Test,M,silent generation
2040881,Control,U,millenial
6547909,Control,F,baby boomers
9774553,Test,U,millenial
203702,Control,F,generation x
2336869,Control,F,generation x
3638107,Control,M,baby boomers
391025,Control,U,silent generation
6954534,Test,F,millenial
7636277,Control,M,baby boomers
8100455,Test,M,millenial
3548541,Test,M,millenial
2050360,Test,M,baby boomers
8675285,Test,F,baby boomers
868124,Control,F,millenial
8241574,Test,M,silent generation
559169,Control,U,millenial
2276090,Control,U,millenial
1095432,Test,M,millenial
3036660,Control,F,generation x
5546524,Control,M,millenial
3544855,Test,U,millenial
7474517,Control,U,baby boomers
7212234,Test,M,baby boomers
9207047,Test,F,generation x
452583,Control,U,generation x
7762269,Test,M,millenial
7599262,Test,F,baby boomers
945176,Control,F,baby boomers
7690452,Test,F,generation x
5537612,Test,U,baby boomers
4256611,Test,M,generation x
2889049,Control,F,generation x
137412,Test,F,baby boomers
171492,Test,M,silent generation
668996,Control,F,millenial
8076294,Control,U,generation x
8893466,Test,U,baby boomers
4727155,Test,M,baby boomers
4493573,Test,U,generation x
2797397,Control,U,baby boomers
6480779,Control,U,millenial
257840,Test,M,millenial
7340414,Control,F,baby boomers
5221768,Test,U,generation x
2306578,Test,U,generation x
9700346,Test,M,baby boomers
192518,Test,M,generation x
5163125,Control,M,generation x
5821983,Control,F,millenial
1884538,Control,F,generation x
902895,Test,U,baby boomers
841242,Control,M,generation x
872142,Control,M,baby boomers
3480918,Test,U,millenial
8203999,Test,U,generation x
617840,Control,F,generation x
1929698,Control,M,millenial
8963925,Test,M,silent generation
7758940,Test,U,baby boomers
8319726,Test,U,millenial
298590,Test,M,silent generation
2856502,Test,U,generation x
6930182,Test,U,baby boomers
965266,Control,F,baby boomers
2465098,Test,F,baby boomers
1667380,Test,M,generation x
8701900,Test,U,baby boomers
5133382,Test,F,millenial
913704,Test,F,baby boomers
1519456,Test,F,baby boomers
8424645,Control,U,baby boomers
7284366,Test,U,baby boomers
1933359,Test,M,baby boomers
4506445,Test,M,millenial
8366788,Test,M,baby boomers
7214811,Test,U,millenial
6819326,Control,F,baby boomers
2475049,Control,F,baby boomers
6394423,Test,M,millenial
3081313,Control,F,baby boomers
9292160,Test,U,generation x
493311,Control,M,baby boomers
4470019,Test,F,baby boomers
6442081,Test,U,millenial
8416851,Control,F,generation x
1938076,Test,U,baby boomers
1907109,Test,F,generation x
2852997,Control,F,generation x
7979476,Test,F,baby boomers
5255030,Test,F,generation x
3633784,Test,U,generation x
7161996,Test,M,generation x
9707270,Control,M,generation z
4772716,Control,U,generation x
9888375,Control,F,baby boomers
1161478,Test,M,baby boomers
7669299,Test,U,baby boomers
3827180,Control,M,baby boomers
1970830,Control,F,generation x
1640688,Control,M,silent generation
676552,Test,U,baby boomers
3399501,Test,M,generation x
3543788,Test,U,millenial
7902599,Test,F,millenial
8068308,Control,F,baby boomers
4638153,Control,M,generation x
1788838,Control,F,baby boomers
693101,Test,U,millenial
6520285,Test,M,millenial
9997114,Control,M,generation x
3286605,Control,M,millenial
1751757,Test,U,silent generation
1064690,Control,U,generation x
2038707,Control,U,millenial
297472,Control,U,baby boomers
2160702,Control,F,generation x
2289897,Control,M,silent generation
4657902,Test,M,baby boomers
6960009,Control,M,baby boomers
6665317,Test,F,baby boomers
2057773,Control,M,silent generation
7523181,Control,U,generation x
5324253,Test,U,millenial
860745,Control,M,baby boomers
5340072,Test,U,baby boomers
5226626,Test,F,baby boomers
4520186,Test,F,baby boomers
219230,Control,F,generation x
3369137,Control,M,baby boomers
7479054,Control,F,baby boomers
4244891,Test,M,generation x
4384098,Control,F,generation x
7582150,Control,M,millenial
8308363,Test,U,baby boomers
8165914,Test,U,generation x
3520993,Control,F,generation x
5645966,Control,U,millenial
9378146,Control,M,baby boomers
148369,Test,F,generation x
5192659,Test,M,baby boomers
7007069,Control,U,baby boomers
127921,Test,U,millenial
3310785,Control,F,millenial
7423412,Control,U,millenial
8279228,Test,M,generation x
588240,Control,M,baby boomers
7699381,Control,M,baby boomers
7046133,Control,M,generation x
9364005,Test,U,millenial
5459195,Test,M,millenial
6442655,Test,U,baby boomers
7449461,Test,F,generation x
4963381,Test,U,millenial
6456062,Control,F,baby boomers
4823947,Control,U,generation x
8860992,Control,F,baby boomers
530654,Control,U,baby boomers
3347759,Control,F,baby boomers
7873338,Control,U,baby boomers
169185,Test,U,millenial
6980919,Test,U,millenial
6519269,Test,U,baby boomers
1638971,Test,F,baby boomers
7984549,Test,U,generation z
4137841,Test,M,silent generation
459221,Test,U,silent generation
3430793,Test,F,baby boomers
4853470,Test,U,millenial
8696517,Control,U,baby boomers
5751565,Test,U,generation x
3968370,Control,M,generation x
1718250,Test,U,generation x
6058534,Test,F,baby boomers
6597561,Control,U,baby boomers
6098661,Test,F,baby boomers
8861365,Test,U,millenial
2346575,Test,M,silent generation
7973780,Control,M,silent generation
5119497,Control,U,generation x
2532775,Test,U,millenial
3155140,Control,U,millenial
924852,Test,F,millenial
8330343,Test,F,baby boomers
8607482,Test,U,baby boomers
4827059,Control,U,millenial
4785260,Test,U,baby boomers
4778491,Test,M,baby boomers
7200160,Test,U,millenial
304982,Control,F,generation x
7177069,Test,U,millenial
9059531,Control,M,baby boomers
3130496,Test,M,millenial
7705990,Test,F,millenial
133101,Control,U,millenial
2790745,Test,F,generation x
2498676,Test,U,millenial
8988721,Control,F,millenial
6224299,Control,F,generation x
3217890,Control,F,generation x
9403921,Control,U,generation x
2356366,Control,U,baby boomers
453167,Control,F,baby boomers
372523,Control,U,baby boomers
2611324,Test,M,millenial
8766886,Test,M,generation x
3106431,Test,F,millenial
5615453,Test,M,baby boomers
7087847,Control,M,generation x
8760103,Test,U,baby boomers
5786954,Test,F,generation x
3175977,Test,F,millenial
5124813,Test,M,millenial
7221996,Test,M,silent generation
7422759,Control,U,millenial
8609229,Test,F,baby boomers
9176963,Test,M,baby boomers
589292,Test,U,generation x
5417457,Control,F,generation x
863704,Control,U,baby boomers
117276,Test,U,baby boomers
7441896,Control,M,generation x
7763445,Test,M,baby boomers
7359292,Test,M,silent generation
4101033,Control,F,millenial
1180583,Control,U,generation x
246429,Test,F,baby boomers
395074,Test,U,baby boomers
6006542,Test,F,baby boomers
1424799,Test,M,baby boomers
4251309,Test,M,generation x
5026927,Test,U,millenial
8512093,Test,F,generation x
8959766,Test,U,millenial
413157,Control,F,generation x
7448926,Control,U,millenial
806192,Test,M,generation x
1542033,Test,M,baby boomers
3432043,Test,M,generation x
1406408,Test,F,generation x
4694039,Test,F,baby boomers
2155192,Test,M,generation x
2657900,Control,M,millenial
4514754,Control,M,generation x
1673947,Control,U,generation x
4961256,Test,F,generation x
3413971,Control,F,generation x
2323637,Test,M,baby boomers
1209140,Test,F,baby boomers
85097,Control,M,baby boomers
2262795,Control,F,generation x
4501407,Test,F,generation x
5593703,Test,U,millenial
1461831,Test,F,generation x
5867403,Test,U,generation x
8825647,Control,U,millenial
2314843,Test,F,generation x
219207,Test,M,silent generation
3535465,Test,M,silent generation
4878070,Test,M,millenial
7337058,Control,U,baby boomers
3498908,Control,F,baby boomers
77276,Test,U,generation z
4630285,Control,F,baby boomers
5667617,Test,U,baby boomers
8184247,Control,M,baby boomers
7787684,Control,U,generation x
4247007,Control,F,millenial
7644707,Test,F,millenial
8620721,Control,M,baby boomers
1818956,Control,F,millenial
2211868,Control,U,millenial
5437254,Test,F,millenial
3584819,Control,F,generation x
6303538,Control,U,millenial
897477,Control,U,millenial
8003648,Control,U,millenial
5456658,Control,F,generation x
3846126,Test,M,baby boomers
5673767,Test,U,millenial
2558586,Test,U,generation x
4008787,Test,F,generation x
6917138,Test,F,baby boomers
2333006,Control,M,millenial
9067031,Test,F,baby boomers
7761694,Test,M,generation x
2043345,Test,M,baby boomers
4209246,Test,F,baby boomers
5238758,Test,U,millenial
1373405,Test,M,baby boomers
8277940,Control,U,generation x
2735635,Test,M,generation x
5567038,Test,U,millenial
4239711,Control,F,silent generation
9635244,Control,F,baby boomers
2798211,Test,F,baby boomers
2915635,Test,M,millenial
947738,Test,F,baby boomers
3444839,Test,U,silent generation
9797297,Control,U,baby boomers
5176958,Control,F,generation x
759780,Test,F,silent generation
4985317,Test,U,baby boomers
3910595,Test,U,millenial
6688350,Test,U,millenial
6405208,Test,U,millenial
2986194,Test,U,millenial
1651697,Control,M,millenial
6503101,Test,F,baby boomers
9103724,Control,U,baby boomers
2561883,Test,F,baby boomers
7873226,Control,F,generation x
9922958,Test,F,silent generation
323950,Control,M,generation x
932489,Test,U,millenial
6781849,Control,F,millenial
467861,Test,U,millenial
7430424,Control,U,generation x
7458004,Control,F,generation x
8753284,Test,M,generation x
9052277,Test,F,baby boomers
1428836,Test,F,generation x
2480352,Test,M,generation x
5896556,Control,U,baby boomers
3716868,Test,M,baby boomers
993682,Control,U,millenial
4036374,Control,F,baby boomers
1330036,Test,U,millenial
6325731,Test,M,millenial
8750191,Control,F,baby boomers
1720728,Test,M,generation x
9004679,Control,U,baby boomers
4342700,Control,U,millenial
8723963,Test,U,generation x
2458751,Test,M,generation x
5203477,Test,F,generation x
6405391,Test,U,generation z
2374507,Test,F,generation x
3011265,Control,F,generation x
3029315,Test,U,millenial
9164248,Test,U,millenial
6450029,Control,U,baby boomers
7045324,Test,U,millenial
3582059,Test,F,millenial
6773537,Test,U,generation x
1314809,Control,U,generation x
2615801,Test,U,millenial
7375067,Control,U,generation x
7159966,Test,M,generation x
4575187,Test,F,generation x
667534,Test,U,millenial
8604038,Control,U,silent generation
2617114,Control,F,generation x
3436975,Control,M,generation z
119599,Test,U,millenial
7574730,Test,M,generation x
3362712,Control,M,silent generation
42296,Control,M,silent generation
3695514,Control,M,baby boomers
1192384,Control,F,generation x
4590361,Control,F,baby boomers
5543024,Test,M,baby boomers
7546085,Test,U,generation x
3072060,Test,M,generation x
1928906,Control,F,baby boomers
512833,Control,M,millenial
9089805,Control,M,millenial
5397802,Test,U,millenial
2888193,Control,U,millenial
4778460,Control,M,baby boomers
6199584,Test,M,baby boomers
7192558,Test,F,generation x
9102754,Test,F,generation x
3576255,Test,U,millenial
6346672,Control,U,generation x
1274510,Test,U,millenial
8283444,Control,U,baby boomers
3519145,Test,M,generation x
4390568,Control,F,silent generation
5694063,Test,U,generation x
3602152,Test,M,millenial
4065760,Test,F,generation x
69568,Test,F,millenial
2420923,Test,F,baby boomers
5848027,Control,M,generation x
6522942,Test,M,generation x
1272344,Test,M,baby boomers
8957739,Test,F,baby boomers
8337830,Control,U,baby boomers
572617,Test,M,millenial
7744581,Test,U,millenial
3045158,Control,M,baby boomers
6747525,Control,F,baby boomers
7258442,Control,M,generation x
7746715,Test,F,millenial
1486118,Control,F,baby boomers
3563844,Test,U,millenial
9493365,Test,M,generation x
985881,Test,F,baby boomers
9792423,Test,F,silent generation
7037852,Control,F,millenial
6767637,Control,U,baby boomers
8735726,Control,M,generation x
5914359,Test,F,generation x
1983898,Control,U,baby boomers
8930597,Control,F,baby boomers
1892008,Control,U,millenial
9889913,Test,F,generation x
1468125,Control,F,baby boomers
3025507,Control,M,generation x
529710,Test,U,millenial
9842475,Control,M,generation x
4343885,Control,M,silent generation
4876132,Test,F,generation x
7829568,Test,F,millenial
8472274,Test,M,millenial
7475482,Control,F,silent generation
6371350,Test,U,generation x
838584,Test,M,baby boomers
8526665,Control,M,baby boomers
9865882,Control,M,baby boomers
4717090,Control,F,baby boomers
1289178,Test,U,baby boomers
3412472,Control,F,generation x
6766816,Test,M,generation x
6774011,Test,F,generation x
3649806,Test,U,millenial
1034218,Test,U,generation x
4448805,Control,M,baby boomers
3766837,Test,M,baby boomers
9231655,Control,M,baby boomers
6296222,Test,M,millenial
2200779,Test,M,baby boomers
5027124,Control,U,generation x
1432979,Control,F,millenial
3999559,Test,F,millenial
3671491,Control,F,baby boomers
3179230,Test,F,silent generation
9748979,Control,U,baby boomers
3590487,Test,U,baby boomers
8874319,Test,F,baby boomers
8691226,Test,F,baby boomers
9513138,Control,F,baby boomers
7884558,Test,U,millenial
1090478,Test,M,generation x
1304240,Test,M,baby boomers
2681612,Control,M,millenial
851930,Control,U,millenial
1344982,Test,U,baby boomers
5171271,Test,U,millenial
6602680,Test,M,baby boomers
2447231,Test,M,baby boomers
5631396,Test,U,generation x
6833110,Control,M,generation x
4960901,Control,F,generation x
2189750,Test,F,baby boomers
9455754,Test,F,millenial
209511,Control,U,generation x
741785,Control,U,millenial
2855888,Control,M,generation x
9083686,Control,U,millenial
2645953,Control,M,millenial
903457,Control,F,generation x
3039540,Test,F,baby boomers
4730612,Test,F,baby boomers
2763314,Control,U,generation x
3453411,Test,M,baby boomers
5212054,Control,M,baby boomers
1344819,Control,M,generation x
8681644,Control,F,generation x
8125499,Test,F,generation x
7271587,Test,M,baby boomers
964596,Test,M,generation x
2675819,Control,F,baby boomers
8852099,Control,F,millenial
7465287,Test,F,millenial
8132181,Test,M,millenial
5759626,Test,U,millenial
2900782,Control,U,millenial
2963107,Control,M,baby boomers
8862044,Control,M,baby boomers
7433366,Control,M,millenial
133487,Control,M,baby boomers
7470213,Test,F,generation x
6809622,Test,U,millenial
1616582,Test,U,baby boomers
9159465,Test,M,baby boomers
494597,Test,M,millenial
4503552,Control,U,generation x
3089722,Control,M,baby boomers
9641810,Control,U,baby boomers
985046,Test,M,generation x
192160,Test,U,baby boomers
6233261,Test,F,generation x
6332820,Control,M,millenial
2623927,Control,U,millenial
8839288,Test,U,millenial
495241,Test,M,millenial
5195063,Test,M,millenial
7878552,Control,U,millenial
2312741,Test,U,silent generation
7633966,Control,M,baby boomers
6717348,Test,U,millenial
3502824,Control,U,baby boomers
614865,Test,U,generation x
7702732,Test,U,generation x
1711408,Test,F,millenial
1399670,Control,F,generation x
157106,Test,F,millenial
1696504,Control,F,baby boomers
4243376,Test,U,baby boomers
2606054,Test,M,generation x
4369578,Test,F,millenial
7597104,Control,U,baby boomers
9221129,Test,U,millenial
8225520,Test,M,millenial
595691,Test,U,millenial
6464033,Test,M,baby boomers
4211505,Control,F,baby boomers
9335333,Test,U,silent generation
1192407,Test,M,baby boomers
9824178,Test,F,baby boomers
1087333,Test,F,baby boomers
3982600,Control,F,baby boomers
1290643,Test,F,baby boomers
728102,Test,F,baby boomers
763504,Test,F,generation x
629229,Test,M,generation x
2892822,Test,F,baby boomers
219038,Test,F,generation x
3387907,Control,M,baby boomers
951327,Test,U,silent generation
4857096,Control,F,baby boomers
7258987,Test,M,baby boomers
5240348,Control,U,baby boomers
9219098,Control,M,silent generation
6521093,Control,M,silent generation
3421393,Control,U,baby boomers
2025761,Control,M,millenial
3119062,Test,U,baby boomers
6740819,Control,F,generation x
6053599,Control,F,generation x
7606536,Control,M,millenial
3206726,Control,M,generation x
2128160,Control,M,baby boomers
2019649,Test,U,millenial
1194245,Control,F,baby boomers
2681771,Test,F,baby boomers
8295735,Control,F,generation x
312984,Control,F,baby boomers
2839247,Control,M,generation x
9661060,Test,F,millenial
5732744,Control,M,generation x
3973582,Test,M,millenial
4620465,Test,U,millenial
6115514,Test,F,generation x
6479455,Test,M,baby boomers
5363445,Control,U,baby boomers
6981798,Control,M,generation x
8031718,Control,M,baby boomers
1262291,Control,M,generation x
8770403,Control,F,baby boomers
1348442,Control,F,baby boomers
566137,Test,U,millenial
3861702,Control,U,generation x
4693102,Control,U,generation x
5398009,Test,U,millenial
5015824,Test,M,baby boomers
9542428,Control,U,generation x
8348798,Test,U,baby boomers
4608580,Control,M,baby boomers
2263719,Control,M,millenial
2612667,Test,U,baby boomers
1213524,Test,U,generation x
1344421,Test,M,baby boomers
8555070,Control,F,millenial
2787512,Control,F,generation x
9534176,Control,U,generation x
2588637,Test,U,generation x
2615052,Test,F,millenial
965179,Test,U,millenial
273469,Test,U,millenial
6651108,Test,U,generation x
7460349,Control,F,baby boomers
3197853,Test,M,millenial
844271,Test,F,silent generation
8774888,Test,M,millenial
6382757,Test,F,millenial
8501430,Control,U,generation x
6724494,Test,U,millenial
7804581,Control,U,millenial
8095423,Control,U,baby boomers
8264879,Test,M,baby boomers
6374406,Control,F,generation x
2717233,Test,U,baby boomers
9837096,Control,U,baby boomers
4281763,Test,U,generation x
9112089,Control,F,generation x
7887156,Control,M,silent generation
743037,Control,U,baby boomers
3825646,Control,F,millenial
6948287,Test,F,baby boomers
3060095,Test,U,millenial
9696533,Control,F,baby boomers
4701896,Test,F,millenial
4743022,Control,F,generation x
2491891,Test,F,generation x
589393,Test,M,baby boomers
6033805,Control,U,silent generation
7690775,Control,M,baby boomers
466526,Control,U,baby boomers
8305562,Test,M,millenial
3319690,Test,U,baby boomers
5253835,Test,U,generation x
5688104,Control,F,generation x
9589889,Test,F,baby boomers
9513516,Test,U,generation x
1410997,Control,U,generation x
6682361,Test,M,baby boomers
390650,Test,U,generation x
9914877,Test,F,generation x
1908164,Test,M,generation x
1428184,Test,U,generation z
6662941,Control,F,millenial
625038,Control,F,baby boomers
8127978,Test,M,generation x
4497644,Test,M,baby boomers
2928968,Test,F,baby boomers
2459641,Test,M,millenial
2502567,Control,F,baby boomers
6809452,Test,M,baby boomers
2570257,Control,F,baby boomers
1900836,Test,M,generation x
9887206,Test,F,millenial
8117339,Control,U,millenial
9292612,Control,M,silent generation
4589317,Test,U,millenial
9600289,Test,F,generation x
8644587,Test,F,baby boomers
3515019,Test,M,millenial
1399011,Test,U,baby boomers
3859509,Test,F,generation x
9624621,Control,M,baby boomers
1411452,Test,U,millenial
9451729,Test,M,millenial
7158922,Test,F,baby boomers
2824464,Test,M,millenial
7355987,Test,F,generation x
4290599,Test,U,baby boomers
195455,Test,M,baby boomers
5941398,Test,U,generation x
4855745,Test,F,generation x
5670374,Control,U,baby boomers
4889645,Test,U,generation x
7393980,Test,U,millenial
5754741,Test,M,millenial
955190,Test,F,generation x
5520127,Control,F,millenial
8360249,Control,F,baby boomers
4825054,Control,M,baby boomers
431615,Test,U,millenial
6405406,Test,U,generation x
5619517,Control,U,millenial
4452301,Test,U,millenial
9762839,Test,M,baby boomers
2044540,Control,F,millenial
5080437,Test,F,millenial
8213521,Control,F,generation x
9937888,Test,F,millenial
9786441,Test,F,baby boomers
5593356,Control,M,baby boomers
6217407,Test,M,generation x
4883446,Test,U,millenial
8655162,Test,M,generation x
1622925,Test,M,baby boomers
5867862,Test,F,millenial
7916237,Test,F,baby boomers
2080737,Test,U,millenial
3350408,Test,F,baby boomers
1011972,Control,F,baby boomers
520210,Test,M,baby boomers
6559023,Control,U,generation x
1835426,Test,M,silent generation
1859491,Test,F,millenial
8158588,Test,U,baby boomers
1787233,Test,F,generation x
1255014,Control,U,millenial
3314416,Control,U,generation x
8121690,Test,M,millenial
8219792,Control,F,baby boomers
3252556,Test,M,millenial
4577049,Control,U,millenial
9795698,Test,F,millenial
4202537,Control,M,generation z
8792675,Control,M,baby boomers
1113976,Test,U,millenial
6605778,Test,F,generation x
3030274,Control,U,baby boomers
5166590,Test,F,baby boomers
5395303,Control,M,generation x
122493,Control,F,baby boomers
8607353,Test,U,baby boomers
9309880,Test,M,baby boomers
6219485,Test,U,baby boomers
6779709,Test,M,generation x
1181698,Control,M,baby boomers
8627900,Test,M,baby boomers
9265934,Control,F,millenial
9441056,Control,U,generation x
9017041,Control,F,millenial
2815061,Control,F,baby boomers
6330488,Test,U,millenial
8550901,Control,M,generation x
6586655,Control,F,generation x
435580,Control,F,generation x
6461191,Control,U,baby boomers
5551581,Test,F,millenial
9983987,Test,F,baby boomers
8006148,Test,F,generation x
6670730,Control,U,baby boomers
6692080,Test,F,baby boomers
3861021,Control,F,baby boomers
4332065,Test,M,baby boomers
5802843,Test,F,generation x
4052287,Control,U,generation x
8375573,Test,U,millenial
8512863,Control,F,baby boomers
9749944,Control,U,millenial
9615900,Test,M,generation x
7274800,Test,M,generation x
5819620,Control,U,generation x
1790923,Control,F,baby boomers
6097361,Control,U,baby boomers
8314579,Test,M,baby boomers
9286966,Test,M,baby boomers
8961589,Test,F,generation x
7105238,Control,F,generation x
3071281,Test,U,millenial
981261,Control,F,baby boomers
987879,Test,U,silent generation
9652308,Test,U,generation z
3976933,Control,M,millenial
8544465,Test,M,baby boomers
8645809,Test,U,generation z
7278903,Test,F,generation x
9455359,Test,M,baby boomers
8627399,Control,U,baby boomers
162867,Test,F,generation x
1033888,Control,M,generation x
7512282,Control,U,silent generation
3875133,Test,F,baby boomers
5296568,Test,F,generation x
5569364,Control,M,generation x
483740,Test,M,baby boomers
6958432,Test,U,millenial
4533589,Test,F,millenial
7977593,Control,F,baby boomers
8470878,Control,U,millenial
2460950,Test,U,millenial
5028215,Test,M,baby boomers
7030145,Test,M,baby boomers
7303592,Control,U,millenial
2465426,Control,U,generation x
9007970,Test,F,millenial
1333964,Test,U,millenial
4129281,Test,M,generation x
4635518,Control,U,millenial
8605014,Control,F,millenial
9382137,Control,M,baby boomers
5328442,Control,M,baby boomers
7932118,Test,M,millenial
3028950,Test,F,baby boomers
6148802,Test,F,silent generation
5955812,Test,M,baby boomers
2923234,Test,U,baby boomers
2528424,Test,U,millenial
3722490,Test,F,millenial
9296214,Test,U,baby boomers
2529822,Test,M,silent generation
3337387,Test,M,millenial
4870929,Test,M,baby boomers
2619480,Control,M,baby boomers
7421893,Control,M,baby boomers
3725888,Test,U,generation x
9406425,Test,U,baby boomers
2529383,Test,U,millenial
6724871,Test,U,generation x
9322129,Test,M,baby boomers
9202764,Control,F,baby boomers
5209141,Test,U,generation x
2113818,Test,M,baby boomers
9764115,Test,M,millenial
1296904,Control,M,baby boomers
4719244,Test,U,millenial
6372831,Control,M,baby boomers
4313319,Control,F,silent generation
542563,Control,F,silent generation
9076766,Control,M,baby boomers
6410961,Control,M,generation x
3050600,Control,F,millenial
8945602,Control,U,generation x
1111442,Test,U,millenial
1061161,Control,F,silent generation
6580601,Control,F,millenial
2671815,Control,F,millenial
8794099,Control,U,baby boomers
56570,Test,M,generation x
1647261,Control,F,millenial
3579822,Control,F,generation x
9461504,Test,U,millenial
4728463,Test,U,millenial
7377294,Test,F,baby boomers
7931364,Test,U,baby boomers
8156741,Control,F,baby boomers
5033489,Control,F,generation x
2983878,Control,M,baby boomers
3461541,Control,U,millenial
6434694,Control,U,generation x
6751236,Test,F,silent generation
7429878,Test,M,millenial
5171763,Control,M,baby boomers
8012228,Test,M,baby boomers
7825081,Test,F,millenial
6046772,Test,U,millenial
8580049,Test,M,silent generation
2067509,Test,F,baby boomers
3944371,Control,U,millenial
8987034,Test,F,generation x
5836504,Test,U,baby boomers
9111035,Test,M,baby boomers
2685663,Test,U,baby boomers
2722950,Control,U,millenial
7218675,Control,U,generation x
3009581,Control,U,baby boomers
8091872,Control,M,baby boomers
1755496,Test,U,millenial
9128400,Test,U,baby boomers
3334970,Test,M,generation x
559468,Test,M,millenial
1925220,Control,M,baby boomers
4979031,Test,F,generation x
9910098,Control,F,silent generation
983122,Control,M,generation x
8249646,Control,F,baby boomers
8950069,Test,U,baby boomers
9058579,Control,U,generation x
9039182,Test,U,generation x
3010914,Control,F,generation x
7021345,Control,F,baby boomers
963874,Test,M,baby boomers
1546314,Control,U,millenial
7767849,Test,U,baby boomers
7068149,Control,U,millenial
8118036,Test,M,generation x
9726680,Test,M,millenial
4519160,Control,M,baby boomers
6773284,Test,M,generation x
7429772,Control,M,millenial
2368143,Test,U,baby boomers
6308576,Test,U,generation x
3956597,Control,F,millenial
3052488,Control,F,baby boomers
8758402,Control,M,baby boomers
9664272,Control,M,baby boomers
6905463,Control,U,millenial
1144410,Control,U,millenial
